"Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","STL","BLK","TOV","TARGET_5Yrs","Year_Drafted","Team","Win_Perc","Year_Debut","Round_Drafted_1","Round_Drafted_2","Round_Drafted_3","Round_Drafted_4","Round_Drafted_5","Round_Drafted_6","Round_Drafted_7","Round_Drafted_8","Round_Drafted_10","Round_Drafted_Undrafted","Position_Center","Position_Point guard","Position_Power forward","Position_Shooting guard","Position_Small forward"
"Corey Williams",35,6.9,2.3,0.9,2.4,36.5,0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,0,1999,"Chicago Bulls",0.207,1999,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Sam Mack",40,6.7,3.6,1.2,3,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,1,1992,"San Antonio Spurs",0.598,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Lorenzo Williams",27,6.6,1.3,0.6,1.3,47.2,0,0,0,0.1,0.3,28.6,0.6,1.4,2,0.2,0.2,0.6,0.3,1,1991,"Charlotte Hornets",0.378,1991,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"P.J. Hairston",45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,0,2014,"Miami Heat",0.451,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Elmore Spencer",44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,1,1992,"Los Angeles Clippers",0.5,1992,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"John Crotty",40,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1,68.4,0.1,0.3,0.4,1.4,0.3,0,0.8,1,1991,"Utah Jazz",0.573,1992,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Stephen Howard",49,5.3,2.1,0.7,1.9,37.6,0,0,0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,0,1992,"Utah Jazz",0.573,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Randy Woods",41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,0,1992,"Los Angeles Clippers",0.5,1992,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Larry Johnson",82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,1,1991,"Charlotte Hornets",0.378,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Billy Owens",80,31.4,14.3,5.9,11.1,52.5,0,0.1,11.1,2.6,3.9,65.4,3,5,8,2.4,1.1,0.8,2.2,1,1991,"Sacramento Kings",0.354,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Stacey Augmon",82,30.5,13.3,5.4,11,48.9,0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,1,1991,"Atlanta Hawks",0.463,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mark Macon",76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73,1.1,1.8,2.9,2.2,2,0.2,2,1,1991,"Denver Nuggets",0.293,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Steven Smith",61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,0,1991,"Miami Heat",0.463,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mitch McGary",32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,0,2014,"Oklahoma City Thunder",0.549,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Larry Stewart",76,29.3,10.4,4,7.8,51.4,0,0,0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,1,1991,"Washington Wizards",0.305,1991,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Mike Iuzzolino",52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0,1.8,0,1991,"Dallas Mavericks",0.268,1991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Doug Smith",76,22.5,8.8,3.8,9.2,41.5,0,0.1,0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,1,1991,"Dallas Mavericks",0.268,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Paul Graham",78,22,10.1,3.9,8.7,44.7,0.7,1.8,39,1.6,2.2,74.1,0.9,2,3,2.2,1.2,0.3,1.2,0,1989,"Atlanta Hawks",0.463,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Donald Hodge",51,20.7,8.4,3.2,6.4,49.7,0,0,0,2,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,1,1991,"Dallas Mavericks",0.268,1991,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dale Davis",64,20.3,6.2,2.4,4.4,55.2,0,0,0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,1,1991,"Indiana Pacers",0.488,1991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Stanley Roberts",55,20.3,10.4,4.3,8.1,52.9,0,0,0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,1,1991,"Orlando Magic",0.256,1991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Terrell Brandon",82,19.6,7.4,3.1,7.3,41.9,0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2,3.9,1,0.3,1.7,1,1991,"Cleveland Cavaliers",0.695,1991,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bison Dele",48,18.9,9.1,3.6,6.8,52.8,0,0,0,2,3,66.9,2.4,3.3,5.7,0.7,0.8,1.1,1.8,1,1991,"Orlando Magic",0.256,1991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Spencer Dinwiddie",34,13.4,4.3,1.5,5,30.2,0.4,1.9,18.5,0.9,1,91.2,0.1,1.3,1.4,3.1,0.6,0.2,1,0,2014,"Detroit Pistons",0.39,2014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tracy Moore",42,18.6,8.5,3.1,7.7,40,0.7,2,35.7,1.5,1.9,83.3,0.7,1.2,2,1.1,0.8,0.1,1.1,1,1988,"Dallas Mavericks",0.134,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Greg Anthony",82,18.4,5.5,2,5.3,37,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,3.8,0.7,0.1,1.2,1,1991,"New York Knicks",0.622,1991,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Kenny Anderson",64,17,7,2.9,7.5,39,0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2,3.2,1.1,0.1,1.5,1,1991,"Brooklyn Nets",0.488,1991,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Victor Alexander",80,16.9,7.4,3,5.7,52.9,0,0,0,1.3,1.9,69.1,1.3,2.9,4.2,0.4,0.6,0.8,1.1,1,1991,"Golden State Warriors",0.671,1991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"David Benoit",77,15.1,5.6,2.3,4.9,46.7,0,0.2,21.4,1.1,1.3,81,1.4,2.5,3.8,0.4,0.3,0.6,0.9,1,1990,"Utah Jazz",0.671,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Kevin Lynch",55,14.9,4.1,1.7,4.1,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1,1.5,1.5,0.7,0.2,0.8,0,1991,"Charlotte Hornets",0.378,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"LaBradford Smith",48,14.8,5.1,2.1,5.1,40.7,0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,2.1,0.9,0,1.3,0,1991,"Washington Wizards",0.305,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Chris Corchiani",51,14.5,5,1.5,3.8,39.9,0.2,0.7,27,1.8,2,87.5,0.4,1.2,1.5,2.8,0.9,0,1.4,0,1991,"Orlando Magic",0.256,1991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Travis Wear",51,13.2,3.9,1.6,4.1,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.8,0.3,0.2,0.7,0,2014,"New York Knicks",0.207,2014,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Robert Pack",72,12.4,4.6,1.6,3.8,42.3,0,0.1,0,1.4,1.8,80.3,0.4,0.9,1.3,1.9,0.6,0.1,1.3,1,1991,"Portland Trail Blazers",0.695,1991,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Pete Chilcutt",69,11.8,3.6,1.6,3.6,45.2,0,0,100,0.3,0.4,82.1,1.1,1.6,2.7,0.6,0.5,0.3,0.6,1,1991,"Sacramento Kings",0.354,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Chris Gatling",54,11.3,5.7,2.2,3.8,56.8,0,0.1,0,1.3,2,66.1,1.4,2,3.4,0.3,0.6,0.7,0.8,1,1991,"Golden State Warriors",0.671,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tharon Mayes",24,10.6,4.1,1.3,4.1,30.3,0.6,1.7,36.6,1,1.5,66.7,0.1,0.5,0.7,1.5,0.7,0.1,1.3,0,1990,"Philadelphia 76ers",0.427,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Eric Murdock",50,9.6,4.1,1.5,3.7,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,1.8,0.6,0.1,1,1,1991,"Utah Jazz",0.671,1991,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Randy Brown",56,9.6,3.4,1.4,3,45.6,0,0.1,0,0.7,1,65.5,0.5,0.8,1.2,1.1,0.6,0.2,0.8,1,1991,"Sacramento Kings",0.354,1991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Greg Sutton",67,9,3.7,1.4,3.6,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,1.4,0.4,0.1,1,0,1991,"San Antonio Spurs",0.573,1991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Elliot Perry",50,8.7,2.5,1,2.6,38,0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,1.6,0.7,0.1,1,1,1991,"Los Angeles Clippers",0.549,1991,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Marty Conlon",45,8.5,2.7,1.1,2.2,47.5,0,0,0,0.5,0.7,75,0.7,0.8,1.5,0.3,0.2,0.2,0.6,1,1990,"Oklahoma City Thunder",0.573,1991,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Rodney Monroe",38,8.2,3.4,1.4,3.8,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.7,0.3,0.1,0.6,0,1991,"Atlanta Hawks",0.463,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"John Turner",42,8.2,2.8,1,2.3,43.9,0,0,0,0.7,1.4,52.5,0.9,1,1.9,0.3,0.1,0.1,0.8,0,1991,"Houston Rockets",0.512,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mark Randall",54,8.2,3.2,1.3,2.8,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.6,0.2,0.1,0.5,0,1991,"Chicago Bulls",0.817,1991,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sean Green",35,7.3,4,1.8,4.5,39.2,0.1,0.3,20,0.4,0.8,53.6,0.6,0.6,1.2,0.6,0.4,0.2,0.8,0,1991,"Indiana Pacers",0.488,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kevin Brooks",37,7.3,2.8,1.2,2.6,44.3,0.1,0.3,18.2,0.5,0.6,81,0.4,0.7,1.1,0.3,0.2,0.1,0.5,0,1991,"Milwaukee Bucks",0.378,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Doug Lee",46,6.7,2.6,1.1,2.5,43.1,0.2,0.8,27,0.2,0.4,52.6,0.4,0.4,0.8,0.5,0.2,0,0.3,0,1987,"Brooklyn Nets",0.488,1991,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Corey Crowder",51,6.4,2.2,0.8,2.2,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.3,0.1,0,0.3,0,1991,"Utah Jazz",0.671,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Rich King",40,5.3,2.2,0.7,1.8,38,0,0,0,0.9,1.1,75.6,0.5,0.7,1.2,0.3,0.1,0.1,0.5,0,1991,"Oklahoma City Thunder",0.573,1991,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Stephen Thompson",19,4.8,1.6,0.7,1.9,37.8,0,0.1,0,0.2,0.4,37.5,0.6,0.4,1,0.4,0.3,0.2,0.3,0,1990,"Orlando Magic",0.5,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Charles Thomas",36,4.3,1.3,0.5,1.4,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.6,0.1,0,0.5,0,1991,"Detroit Pistons",0.585,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Lionel Simmons",79,37.7,18,6.9,16.5,42.2,0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,4,1.4,1.1,2.9,1,1990,"Sacramento Kings",0.305,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gary Harris",55,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.1,0.7,0,2014,"Chicago Bulls",0.61,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Derrick Coleman",74,35.2,18.4,6.9,14.9,46.7,0.2,0.5,34.2,4.4,6,73.1,3.6,6.6,10.3,2.2,1,1.3,2.9,1,1990,"Brooklyn Nets",0.317,1990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Travis Mays",64,33.5,14.3,4.6,11.3,40.6,1.1,3.1,36.5,4,5.2,77,0.8,1.9,2.8,4,1.3,0.2,2.5,0,1990,"Sacramento Kings",0.305,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dennis Scott",82,28.5,15.7,6.1,14.4,42.5,1.5,4.1,37.4,1.9,2.5,75,0.8,2.1,2.9,1.6,0.8,0.3,1.6,1,1990,"Orlando Magic",0.378,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gary Payton*",82,27.4,7.2,3.2,7,45,0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3,6.4,2,0.2,2.2,1,1990,"Oklahoma City Thunder",0.5,1990,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Felton Spencer",81,25.9,7.1,2.4,4.7,51.2,0,0,0,2.2,3.1,72.2,3.4,4.6,7.9,0.3,0.6,1.5,0.9,1,1990,"Minnesota Timberwolves",0.354,1990,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Willie Burton",76,25.4,12,4.5,10.2,44.1,0.1,0.4,13.3,3,3.9,78.2,1.5,2,3.4,1.4,0.9,0.3,1.9,1,1990,"Miami Heat",0.293,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"DeCovan Kadell ""Dee"" Brown",82,23.7,8.7,3.5,7.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,4.2,1,0.2,1.7,1,1990,"Boston Celtics",0.683,1990,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Daniel ""Dee"" Brown",49,9.2,1.9,0.7,2,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,1.7,0.5,0.1,0.6,0,2006,"Utah Jazz",0.622,2006,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Kendall Gill",82,23.7,11,4.6,10.2,45,0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,3.7,1.3,0.5,2,1,1990,"Charlotte Hornets",0.317,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Duane Causwell",76,22.6,6.9,2.8,5.4,50.8,0,0,0,1.4,2.2,63.6,1.9,3.3,5.1,0.9,0.6,1.9,1.3,1,1990,"Sacramento Kings",0.305,1990,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mahmoud Abdul-Rauf",67,22.5,14.1,6.2,15.1,41.3,0.4,1.5,24,1.3,1.5,85.7,0.5,1.3,1.8,3.1,0.8,0.1,1.6,1,1990,"Denver Nuggets",0.244,1990,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"A.J. English",70,20.6,8.8,3.6,8.2,43.9,0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,2.5,0.4,0.2,1.6,0,1990,"Washington Wizards",0.366,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Danny Ferry",81,20.5,8.6,3.4,7.9,42.8,0.3,1,29.9,1.5,1.9,81.6,1.2,2.3,3.5,1.8,0.5,0.3,1.5,1,1989,"Los Angeles Clippers",0.366,1989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mario Elie",33,19.5,7.2,2.4,4.8,49.7,0.1,0.3,40,2.3,2.7,84.3,1.4,1.9,3.3,1.4,0.6,0.3,0.9,1,1985,"Milwaukee Bucks",0.695,1985,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Anthony Cook",58,19.3,5.3,2,4.9,41.7,0,0.1,0,1.2,2.2,55,2.3,3.3,5.6,0.4,0.6,1.2,0.9,0,1989,"Phoenix Suns",0.659,1989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Gerald Paddio",70,16.9,7.2,3,7.2,41.9,0.1,0.3,25,1.1,1.3,79.6,0.5,1.1,1.7,1.3,0.3,0.1,1,0,1988,"Boston Celtics",0.512,1988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Bimbo Coles",82,16.5,4.9,2,4.8,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,2.8,0.8,0.1,1.2,1,1990,"Sacramento Kings",0.305,1990,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bo Kimble",62,16.2,6.9,2.6,6.7,38,0.3,1,29.2,1.5,1.9,77.3,0.7,1.2,1.9,1.2,0.5,0.1,1.2,0,1990,"Los Angeles Clippers",0.378,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Alec Kessler",78,16.1,6.2,2.6,6,42.5,0,0.1,0,1.1,1.7,67.2,1.5,2.8,4.3,0.4,0.2,0.3,1.4,0,1990,"Houston Rockets",0.634,1990,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Loy Vaught",73,16.1,5.5,2.4,4.9,48.7,0,0,0,0.7,1,66.2,1.7,3.1,4.8,0.5,0.3,0.3,0.7,1,1990,"Los Angeles Clippers",0.378,1990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tyrone Hill",74,16.1,5.3,2,4,49.2,0,0,0,1.3,2.1,63.2,2.1,3.1,5.2,0.3,0.5,0.4,1,1,1990,"Golden State Warriors",0.537,1990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Marcus Liberty",76,15.4,6.7,2.8,6.8,42.1,0.2,0.8,29.8,0.8,1.2,63,1.5,1.4,2.9,0.8,0.6,0.3,0.9,0,1990,"Denver Nuggets",0.244,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Terry Mills",55,14.9,5.7,2.4,5.2,46.5,0,0.1,0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.6,0.5,0.8,1,1990,"Denver Nuggets",0.244,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jamal Robinson",47,14.3,5.6,2.3,5.1,44.6,0,0.2,18.2,1,1.7,58.8,0.4,1.1,1.5,2.8,0.7,0.2,1.6,0,1997,"Miami Heat",0.61,2000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Henry James",37,13.6,8.1,3,6.9,44.1,0.6,1.6,40,1.4,1.9,72.2,0.7,1.4,2.1,0.9,0.4,0.1,1,1,1988,"Cleveland Cavaliers",0.402,1990,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Jerrod Mustaf",62,13.3,4.3,1.7,3.7,46.5,0,0,0,0.9,1.4,64.4,0.8,1.9,2.7,0.6,0.2,0.2,1,0,1990,"New York Knicks",0.476,1990,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Kevin Pritchard",62,12.5,3.9,1.4,3.7,38.4,0.1,0.5,16.1,1,1.2,80.5,0.3,0.8,1,1.3,0.5,0.1,0.9,0,1990,"Golden State Warriors",0.537,1990,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gerald Glass",51,11.9,6.9,2.9,6.7,43.8,0,0.3,11.8,1,1.5,68.4,1.1,0.9,2,0.8,0.6,0.2,0.8,0,1990,"Minnesota Timberwolves",0.354,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Larry Robinson",36,11.8,3.9,1.7,4.2,41.3,0,0,0,0.4,0.8,55.6,0.8,0.6,1.4,1,0.4,0,0.8,1,1990,"Washington Wizards",0.366,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Jud Buechler",74,11.6,3.1,1.3,3.1,41.6,0,0.1,25,0.6,0.9,65.2,0.8,1.1,1.9,0.7,0.5,0.2,0.3,1,1990,"Oklahoma City Thunder",0.5,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cedric Ceballos",63,11.6,8.2,3.2,6.7,48.7,0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.6,0.3,0.1,1.1,1,1990,"Phoenix Suns",0.671,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Kyle Anderson",33,10.8,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.5,0.2,0.3,0,2014,"San Antonio Spurs",0.671,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Greg Foster",54,11.2,4.4,1.8,3.9,46,0,0.1,0,0.8,1.1,68.9,1,1.8,2.8,0.7,0.2,0.4,0.8,1,1990,"Washington Wizards",0.366,1990,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Brian Oliver",73,11,3.8,1.5,3.7,40.8,0.1,0.2,27.8,0.7,1,73.2,0.2,0.8,1.1,1.2,0.5,0.1,0.7,0,1990,"Philadelphia 76ers",0.537,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Howard Wright",15,10.9,3.6,1.3,3.1,40.4,0,0.1,0,1.1,1.6,66.7,0.8,2.2,3,0.2,0.3,0.3,0.7,0,1989,"Atlanta Hawks",0.5,1989,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Tony Smith",64,10.9,3.7,1.5,3.4,44.1,0,0.1,0,0.6,0.9,70.2,0.4,0.7,1.1,2.1,0.4,0.2,1.1,1,1990,"Los Angeles Lakers",0.707,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tate George",56,10.6,3.4,1.4,3.4,41.5,0,0,0,0.6,0.7,80,0.3,0.5,0.8,1.9,0.5,0.1,0.8,0,1990,"Brooklyn Nets",0.317,1990,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Rick Calloway",64,10.6,3.2,1.2,3,39.1,0,0,0,0.9,1.2,69.6,0.4,0.8,1.2,1,0.3,0.1,0.8,0,1990,"Sacramento Kings",0.305,1990,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Steve Henson",68,10.1,3.1,1.2,2.8,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,1.9,0.5,0,0.6,1,1990,"Milwaukee Bucks",0.585,1990,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
